item_name,qty_sold(kg)
Green Line Pepper,0.164
Net Lotus Root (1),1.742
Xixia Mushroom (1),0.119
Yunnan Shengcai,0.345
Apricot Bao Mushroom (1),0.2
Qinggengsanhua,0.401
Naibaicai,0.302
Paopaojiao (Jingpin),0.616
Niushou Youcai,0.502
Xixia Mushroom (1),0.257
Yellow Xincai (1),0.587
Yellow Xincai (1),0.473
Paopaojiao (Jingpin),0.688
Xixia Mushroom (1),0.234
Needle Mushroom (1),0.414
Qinggengsanhua,0.913
Qinggengsanhua,0.379
Paopaojiao (Jingpin),0.401
Shanghaiqing,0.345
Net Lotus Root (1),0.363
Spinach,0.587
Qinggengsanhua,0.635
Paopaojiao (Jingpin),0.587
Needle Mushroom (1),0.426
Paopaojiao (Jingpin),0.258
Chinese Cabbage,1.357
Chinese Caterpillar Fungus Flowers,0.057
Chinese Cabbage,0.628
Wawacai,1.0
Net Lotus Root (1),0.915
Haixian Mushroom (Bag) (1),1.0
Paopaojiao (Jingpin),0.158
Green Line Pepper,0.118
Xixia Mushroom (1),0.202
Yunnan Shengcai,0.167
Xixia Mushroom (1),0.211
Niushou Youcai,0.535
Jigu Mushroom (Bunch),1.0
The White Mushroom (Bag),1.0
Red Pepper (1),0.169
Niushou Youcai,0.502
Qinggengsanhua,0.501
Spinach,0.3
Luosi Pepper,0.442
Xixia Mushroom (1),0.294
Net Lotus Root (1),0.564
Net Lotus Root (1),0.351
Qinggengsanhua,0.368
Yunnan Shengcai,0.303
Garden Chrysanthemum,0.501
Garden Chrysanthemum,0.225
Xixia Mushroom (1),0.234
Yunnan Shengcai,0.376
Paopaojiao (Jingpin),0.344
Niushou Youcai,0.485
High Melon (1),0.265
Yellow Xincai (1),0.544
Green Eggplant (1),0.468
Qinggengsanhua,0.713
Yunnan Shengcai,0.198
Needle Mushroom (1),0.451
Broccoli,0.544
Niushou Youcai,0.719
Paopaojiao (Jingpin),0.115
Paopaojiao (Jingpin),0.086
Net Lotus Root (1),0.777
Zhuyecai,0.315
Sweet Chinese Cabbage,0.827
Red Hang Pepper,0.107
Xixia Mushroom (1),0.078
Yellow Xincai (1),0.373
Broccoli,0.351
Caixin,0.602
Niushou Youcai,0.251
Green Line Pepper,0.073
Millet Pepper,0.025
Niushou Youcai,0.552
Qinggengsanhua,0.813
Eggplant (2),0.401
Luosi Pepper,0.15
Naibaicai,0.528
Haixian Mushroom (Bag) (1),1.0
Niushou Youcai,0.435
Xixia Mushroom (1),0.257
Net Lotus Root (1),0.94
Paopaojiao (Jingpin),0.473
Yellow Xincai (1),0.616
Broccoli,0.451
Yunnan Shengcai,0.313
Broccoli,0.436
Xixia Mushroom (1),0.284
Broccoli,0.558
Niushou Youcai,0.753
Sweet Chinese Cabbage,0.451
Xixia Mushroom (1),0.482
Wawacai,1.0
Needle Mushroom (Bag) (1),1.0
Broccoli,0.451
Niushou Youcai,0.217
Naibaicai,0.226
Broccoli,0.3
Net Lotus Root (1),0.226
Naibaicai,0.452
Xixia Mushroom (1),0.133
Net Lotus Root (1),0.815
Paopaojiao (Jingpin),0.186
Qinggengsanhua,0.702
Red Pepper (1),0.188
Millet Pepper,0.175
Broccoli,0.415
Qinggengsanhua,0.468
Chinese Cabbage,1.784
Needle Mushroom (Bag) (1),1.0
Zhuyecai,0.716
Sweet Chinese Cabbage,0.752
Ping Mushroom,0.301
Yellow Xincai (1),0.63
Yunnan Shengcai,0.397
Broccoli,0.694
Broccoli,0.451
Paopaojiao (Jingpin),0.33
Net Lotus Root (1),0.326
Qinggengsanhua,0.802
Xixia Mushroom (1),0.161
Needle Mushroom (1),0.426
Yunnan Shengcai,0.209
Haixian Mushroom (Bag) (1),1.0
Broccoli,0.444
Paopaojiao (Jingpin),0.158
Zhuyecai,0.301
Xixia Mushroom (1),0.262
Eggplant (2),0.487
Zhuyecai,0.387
Net Lotus Root (1),0.777
Paopaojiao (Jingpin),0.301
Xixia Mushroom (1),0.202
Niushou Youcai,0.435
Garden Chrysanthemum,1.394
Shanghaiqing,0.134
Green Line Pepper,0.273
Jigu Mushroom (1),0.184
Sweet Chinese Cabbage,0.727
Red Pepper (1),0.382
Huangbaicai (2),0.802
Net Lotus Root (1),0.389
Net Lotus Root (1),0.175
Net Lotus Root (1),0.338
Spinach,0.351
Niushou Youcai,0.385
The Red Bell Pepper (1),0.323
Yunnan Lettuces,0.451
Broccoli,0.422
Eggplant (2),0.201
Niushou Youcai,0.318
Sweet Chinese Cabbage,1.078
Xixia Mushroom (1),0.349
Zhuyecai,0.258
Net Lotus Root (1),0.288
Broccoli,0.544
Xixia Mushroom (1),0.128
Net Lotus Root (1),0.551
Green Eggplant (1),0.619
Qinggengsanhua,0.579
Xixia Mushroom (1),0.252
Naibaicai,0.477
Muercai,0.804
Sweet Chinese Cabbage,0.852
Yunnan Shengcai,0.24
Red Hang Pepper,0.186
Net Lotus Root (1),0.363
Caixin,0.326
Paopaojiao (Jingpin),0.272
Yunnan Lettuces,0.341
Sweet Chinese Cabbage,0.902
Apricot Bao Mushroom (1),0.157
Ping Mushroom,0.2
Xixia Mushroom (1),0.33
Yunnan Shengcai,0.689
Net Lotus Root (1),0.426
Millet Pepper,0.05
Huangbaicai (2),0.389
Garden Chrysanthemum,0.493
Millet Pepper,0.142
Yunnan Shengcai,0.219
Needle Mushroom (Bag) (1),1.0
Broccoli,0.372
Caixin,0.313
Garden Chrysanthemum,0.284
Xixia Mushroom (1),0.28
Yellow Xincai (1),0.487
Muercai,0.327
Needle Mushroom (1),0.376
Qinggengsanhua,1.136
Huangbaicai (2),0.514
Paopaojiao (Jingpin),0.344
Apricot Bao Mushroom (1),0.172
Paopaojiao (Jingpin),0.731
Broccoli,0.787
Caixin,0.338
Haixian Mushroom (Bag) (1),1.0
Xixia Mushroom (1),0.184
Garden Chrysanthemum,0.276
Red Pepper (1),0.156
Green Line Pepper,0.1
Broccoli,0.551
Spinach,0.329
Needle Mushroom (1),0.376
Spinach,0.315
Paopaojiao (Jingpin),0.43
Broccoli,0.494
Net Lotus Root (1),2.005
Needle Mushroom (1),0.439
Xixia Mushroom (1),0.234
Yunnan Lettuces,0.491
Paopaojiao (Jingpin),0.201
Round Eggplant (2),0.482
Shanghaiqing,0.379
Qinggengsanhua,0.401
Sweet Chinese Cabbage,0.99
Net Lotus Root (1),0.426
Apricot Bao Mushroom (Bag),1.0
Xixia Mushroom (1),0.11
Zhuyecai,0.287
7 Colour Pepper (1),0.288
Chinese Cabbage,1.307
Yunnan Shengcai,0.386
Yunnan Shengcai,0.365
Broccoli,0.429
Caixin,0.351
Net Lotus Root (1),1.717
Xixia Mushroom (1),0.344
Yunnan Lettuces,0.421
The White Mushroom (Bag),1.0
Red Pepper (1),0.344
Green Line Pepper,0.109
Broccoli,0.458
Broccoli,0.458
Xixia Mushroom (1),0.22
Green Line Pepper,0.191
Yunnan Shengcai,0.449
Yunnan Lettuces,0.411
Green Line Pepper,0.328
Broccoli,0.386
Paopaojiao (Jingpin),0.373
Needle Mushroom (1),0.401
Yunnan Shengcai,0.355
Jigu Mushroom (Bunch),1.0
Green Line Pepper,0.282
The Red Bell Pepper (1),0.156
7 Colour Pepper (1),0.298
Net Lotus Root (1),0.677
Net Lotus Root (1),0.79
Broccoli,0.508
Xixia Mushroom (1),0.546
Broccoli,0.565
Chinese Cabbage,1.281
Red Pepper (1),0.144
Luosi Pepper,0.651
Qinggengsanhua,0.958
Eggplant (2),1.046
Broccoli,1.009
Luosi Pepper,0.292
Xixia Mushroom (1),0.184
Yunnan Shengcai,0.334
Paopaojiao (Jingpin),0.287
Huangbaicai (2),0.551
Broccoli,0.615
Yellow Xincai (1),0.487
Muercai,0.352
Chinese Cabbage,0.35
Broccoli,0.501
Yunnan Lettuces,0.822
Xixia Mushroom (1),0.147
Xixia Mushroom (1),0.335
Huangbaicai (2),0.614
Eggplant (2),0.487
Yunnan Shengcai,0.605
Broccoli,0.329
Apricot Bao Mushroom (Bag),1.0
Xixia Mushroom (1),0.61
Broccoli,0.472
Luosi Pepper,0.351
Xixia Mushroom (1),0.335
Caixin,0.652
Jigu Mushroom (Bunch),1.0
Naibaicai,0.528
Yunnan Shengcai,0.292
Eggplant (2),0.501
Bell Pepper (1),0.426
Apricot Bao Mushroom (1),0.608
Red Pepper (1),0.238
Millet Pepper,0.142
Yunnan Shengcai,0.219
Needle Mushroom (1),0.401
Apricot Bao Mushroom (1),0.272
Broccoli,0.587
Paopaojiao (Jingpin),0.53
Qinggengsanhua,0.98
Xixia Mushroom (1),0.252
Broccoli,0.422
Net Lotus Root (1),1.341
Xixia Mushroom (1),0.344
Millet Pepper,0.058
Xixia Mushroom (1),0.234
Red Pepper (1),0.063
Paopaojiao (Jingpin),0.33
Ping Mushroom,0.21
Ping Mushroom,0.22
Chinese Cabbage,0.804
Qinggengsanhua,0.624
Net Lotus Root (1),0.677
Green Line Pepper,0.182
Millet Pepper,0.075
Net Lotus Root (1),0.451
Net Lotus Root (1),1.015
Broccoli,0.379
Wawacai,1.0
Net Lotus Root (1),0.351
Xixia Mushroom (1),0.349
Zhuyecai,0.33
Spinach,0.322
Broccoli,0.601
Haixian Mushroom (1),0.25
Ping Mushroom,0.16
Caixin,0.351
Apricot Bao Mushroom (1),0.243
Broccoli,0.551
Yellow Xincai (1),0.387
Yunnan Shengcai,0.188
Paopaojiao (Jingpin),0.272
Millet Pepper,0.167
Xixia Mushroom (1),0.11
Millet Pepper,0.042
Green Line Pepper,0.055
Xixia Mushroom (1),0.482
Millet Pepper,0.025
Needle Mushroom (1),0.426
Green Line Pepper,0.282
Chinese Cabbage,0.854
Qinggengsanhua,0.557
Net Lotus Root (1),1.416
Yunnan Shengcai,0.689
Red Pepper (1),0.144
Paopaojiao (Jingpin),0.501
Broccoli,0.422
Chinese Cabbage,0.394
Xixia Mushroom (1),0.179
Naibaicai,0.251
Needle Mushroom (1),0.401
Qinggengsanhua,0.535
Net Lotus Root (1),0.414
Paopaojiao (Jingpin),0.172
Green Eggplant (1),1.02
Millet Pepper,0.242
Eggplant (2),0.287
Paopaojiao (Jingpin),0.387
Xixia Mushroom (1),0.339
Sweet Chinese Cabbage,0.827
Broccoli,0.587
Paopaojiao (Jingpin),0.315
Yunnan Shengcai,0.334
Muercai,0.377
Needle Mushroom (1),0.376
Yunnan Lettuces,0.471
Bell Pepper (1),0.213
The Red Bell Pepper (1),0.128
Jigu Mushroom (Bunch),1.0
Needle Mushroom (1),0.401
Jigu Mushroom (1),0.111
Spinach,0.279
Broccoli,0.329
Luosi Pepper,0.292
Broccoli,0.401
Caixin,0.602
Chinese Cabbage,1.03
Caixin,0.288
Xixia Mushroom (1),0.252
Broccoli,0.379
Yellow Xincai (1),0.387
Eggplant (2),0.459
Xixia Mushroom (1),0.303
Needle Mushroom (Bag) (1),1.0
Spinach,0.293
Xixia Mushroom (1),0.234
Muercai,0.352
Needle Mushroom (1),0.451
Xixia Mushroom (1),0.284
Huangbaicai (2),0.326
Needle Mushroom (1),0.451
Yunnan Shengcai,0.271
Ping Mushroom,0.281
Red Pepper (1),0.232
Caixin,0.602
Xixia Mushroom (1),0.514
Chinese Cabbage,1.014
Yunnan Lettuces,0.311
Xixia Mushroom (1),0.321
Jigu Mushroom (1),0.234
The Red Bell Pepper (1),0.111
Muercai,0.352
Spinach,0.322
Yunnan Shengcai,0.334
Haixian Mushroom (Bag) (1),1.0
The White Mushroom (Bag),1.0
Garden Chrysanthemum,0.292
Paopaojiao (Jingpin),0.244
Sweet Chinese Cabbage,0.877
Jigu Mushroom (Bunch),1.0
Xixia Mushroom (1),0.344
Yunnan Shengcai,0.491
Yunnan Shengcai,0.251
Chinese Cabbage,1.608
Round Eggplant (2),0.864
Xixia Mushroom (1),0.303
Paopaojiao (Jingpin),0.301
Chinese Cabbage,0.628
Broccoli,0.458
Yunnan Shengcai,0.324
Eggplant (2),0.473
Spinach,0.587
Xixia Mushroom (1),0.225
Qinggengsanhua,0.646
Yellow Xincai (1),0.544
Broccoli,0.329
Paopaojiao (Jingpin),0.516
Yellow Xincai (1),0.63
Round Eggplant (2),0.723
Needle Mushroom (1),0.326
Muercai,0.402
Xixia Mushroom (1),0.431
Eggplant (2),0.315
Chinese Cabbage,0.288
Paopaojiao (Jingpin),0.344
Shanghaiqing,0.334
Xixia Mushroom (1),0.294
Paopaojiao (Jingpin),0.287
Caixin,0.602
Red Pepper (1),0.244
Millet Pepper,0.05
Broccoli,0.343
Paopaojiao (Jingpin),0.244
Spinach,0.322
Needle Mushroom (1),0.451
Needle Mushroom (Bag) (1),1.0
Needle Mushroom (Bag) (1),1.0
Paopaojiao (Jingpin),0.387
Yunnan Shengcai,0.668
Broccoli,0.923
Yunnan Shengcai,0.407
Xixia Mushroom (1),0.179
Green Line Pepper,0.328
Broccoli,0.451
Net Lotus Root (1),0.326
Green Eggplant (1),0.351
Sweet Chinese Cabbage,0.927
Huangbaicai (2),0.739
Needle Mushroom (Bag) (1),1.0
Haixian Mushroom (Bag) (1),1.0
Haixian Mushroom (Bag) (1),1.0
Haixian Mushroom (Bag) (1),1.0
Garden Chrysanthemum,0.493
Needle Mushroom (1),0.426
Net Lotus Root (1),0.551
Wawacai,1.0
Apricot Bao Mushroom (1),0.486
Needle Mushroom (1),0.426
Apricot Bao Mushroom (1),0.129
Chinese Caterpillar Fungus Flowers,0.151
Needle Mushroom (1),0.389
Broccoli,0.479
Paopaojiao (Jingpin),0.487
Xixia Mushroom (1),0.202
Spinach,0.272
Millet Pepper,0.084
Net Lotus Root (1),0.338
Ping Mushroom,0.15
Green Line Pepper,0.118
Needle Mushroom (1),0.401
Luosi Pepper,0.392
Jigu Mushroom (Bunch),1.0
Qinggengsanhua,0.412
Jigu Mushroom (Bunch),1.0
Paopaojiao (Jingpin),0.473
Apricot Bao Mushroom (1),0.379
The White Mushroom (Bag),1.0
Round Eggplant (2),0.482
Millet Pepper,0.084
Shanghaiqing,0.423
Qinggengsanhua,0.579
Chinese Caterpillar Fungus Flowers,0.05
Xixia Mushroom (1),0.161
Green Eggplant (1),1.488
Fresh Black Fungus (1),0.229
Needle Mushroom (1),0.426
Yunnan Shengcai,0.313
Fresh Black Fungus (1),0.236
Haixian Mushroom (Bag) (1),1.0
Xixia Mushroom (1),0.317
Zhuyecai,0.33
Yunnan Lettuces,0.361
Needle Mushroom (1),0.376
Round Eggplant (2),0.602
Paopaojiao (Jingpin),0.301
Red Pepper (1),0.081
Chinese Cabbage,0.551
Paopaojiao (Jingpin),0.1
Net Lotus Root (1),1.191
Spinach,0.343
Spinach,0.579
Xixia Mushroom (1),0.271
Yunnan Shengcai,0.48
Yunnan Shengcai,0.47
Caixin,0.677
Yunnan Shengcai,0.313
Broccoli,0.308
Wawacai,1.0
Yunnan Shengcai,0.365
Yunnan Shengcai,0.47
Yunnan Shengcai,0.376
Caixin,0.589
Wawacai,1.0
Round Eggplant (2),0.703
Xixia Mushroom (1),0.151
Jigu Mushroom (1),0.134
Round Eggplant (2),0.643
Qinggengsanhua,0.624
Broccoli,0.451
Paopaojiao (Jingpin),0.258
Chinese Cabbage,0.344
Shanghaiqing,0.668
Shanghaiqing,0.479
Luosi Pepper,0.342
Xixia Mushroom (1),0.225
Xixia Mushroom (1),0.156
Yunnan Shengcai,0.365
Round Eggplant (2),0.382
Paopaojiao (Jingpin),0.215
Muercai,0.704
Broccoli,1.109
Round Eggplant (2),0.542
Muercai,0.653
Chinese Cabbage,0.294
Xixia Mushroom (1),0.147
Yunnan Shengcai,0.251
Xixia Mushroom (1),0.188
Apricot Bao Mushroom (1),0.215
Shanghaiqing,0.457
Red Pepper (1),0.319
Qinggengsanhua,0.835
Broccoli,0.529
Yunnan Shengcai,0.324
Xixia Mushroom (1),0.211
Caixin,0.201
Shanghaiqing,0.423
Needle Mushroom (1),0.401
Caixin,0.551
Caixin,0.464
Broccoli,0.529
Zhuyecai,0.301
Net Lotus Root (1),0.915
Sweet Chinese Cabbage,0.652
Yunnan Shengcai,0.271
Chinese Cabbage,1.156
Chinese Cabbage,1.332
Chinese Cabbage,1.482
Chinese Cabbage,1.608
Yunnan Shengcai,0.616
Spinach,0.336
Xixia Mushroom (1),0.312
Needle Mushroom (1),0.464
Needle Mushroom (1),0.376
Xixia Mushroom (1),0.197
Xixia Mushroom (1),0.505
Yunnan Shengcai,0.292
Net Lotus Root (1),0.476
Xixia Mushroom (1),0.303
Green Hot Peppers,1.145
Broccoli,0.472
Paopaojiao (Jingpin),0.315
Shanghaiqing,0.39
Yunnan Lettuces,0.421
Xixia Mushroom (1),0.44
Yunnan Shengcai,0.365
Xixia Mushroom (1),0.417
Huangbaicai (2),0.526
Chinese Cabbage,1.683
Paopaojiao (Jingpin),0.086
Round Eggplant (2),0.623
Paopaojiao (Jingpin),0.401
Qinggengsanhua,0.601
Shanghaiqing,0.635
Wawacai,1.0
Apricot Bao Mushroom (1),0.422
Yunnan Shengcai,0.428
Paopaojiao (Jingpin),0.158
Yunnan Shengcai,0.501
Green Line Pepper,0.027
Xixia Mushroom (1),0.211
Paopaojiao (Jingpin),0.229
Red Pepper (1),0.194
Millet Pepper,0.017
Green Eggplant (1),0.535
Xixia Mushroom (1),0.119
Paopaojiao (Jingpin),0.229
Caixin,0.351
Needle Mushroom (Bag) (1),1.0
Eggplant (2),0.559
Shanghaiqing,0.356
Paopaojiao (Jingpin),0.315
Red Pepper (1),0.319
Jigu Mushroom (1),0.122
Xixia Mushroom (1),0.33
Broccoli,0.908
Caixin,0.376
Broccoli,0.458
Millet Pepper,0.15
Yunnan Shengcai,0.282
Yunnan Shengcai,0.543
Yunnan Shengcai,0.292
Millet Pepper,0.05
Zhuyecai,0.315
Wawacai,1.0
Garden Chrysanthemum,0.501
Needle Mushroom (1),0.439
Broccoli,0.458
Paopaojiao (Jingpin),0.143
Needle Mushroom (1),0.439
Paopaojiao (Jingpin),0.272
Paopaojiao (Jingpin),0.229
Paopaojiao (Jingpin),0.244
Paopaojiao (Jingpin),0.344
Yunnan Shengcai,0.491
Eggplant (2),0.287
Green Line Pepper,0.146
Muercai,0.754
Paopaojiao (Jingpin),0.53
Needle Mushroom (1),0.464
Yunnan Shengcai,0.449
Millet Pepper,0.075
Green Line Pepper,0.182
Yunnan Shengcai,0.084
The Red Bell Pepper (1),0.145
Chinese Cabbage,0.603
Red Hang Pepper,0.293
Xixia Mushroom (1),0.321
Paopaojiao (Jingpin),0.416
Yunnan Shengcai,0.345
Eggplant (2),0.172
Yellow Xincai (1),0.43
Yunnan Shengcai,0.501
Luosi Pepper,0.526
Shanghaiqing,0.423
Xixia Mushroom (1),0.633
Apricot Bao Mushroom (1),0.451
Yunnan Shengcai,0.355
Qinggengsanhua,0.412
Needle Mushroom (1),0.476
Needle Mushroom (1),0.426
Paopaojiao (Jingpin),0.215
Bell Pepper (1),0.207
Chinese Cabbage,0.338
Red Hang Pepper,0.179
Caixin,0.301
Caixin,0.526
Needle Mushroom (1),0.451
Muercai,0.327
Yunnan Shengcai,0.209
Millet Pepper,0.033
Yunnan Shengcai,0.292
Broccoli,0.458
Green Line Pepper,0.064
Qinggengsanhua,0.613
Paopaojiao (Jingpin),0.373
Jigu Mushroom (1),0.15
Broccoli,0.451
Jigu Mushroom (Bunch),1.0
Green Hot Peppers,0.207
Red Pepper (1),0.081
Millet Pepper,0.058
Xixia Mushroom (1),0.151
Yunnan Shengcai,0.146
Millet Pepper,0.075
Green Line Pepper,0.237
Xixia Mushroom (1),0.326
Yellow Xincai (1),0.645
Garden Chrysanthemum,0.225
Net Lotus Root (1),0.451
Apricot Bao Mushroom (1),0.258
Xixia Mushroom (1),0.156
Needle Mushroom (Bag) (1),1.0
Yunnan Shengcai,0.334
Yunnan Shengcai,0.146
Xixia Mushroom (1),0.252
Chinese Cabbage,1.005
Shanghaiqing,0.557
Spinach,0.558
Qinggengsanhua,0.924
Ping Mushroom,0.281
Caixin,0.526
Shanghaiqing,0.457
Red Pepper (1),0.163
Round Eggplant (2),1.526
Broccoli,0.565
Yunnan Shengcai,0.334
Needle Mushroom (Bag) (1),1.0
Chinese Cabbage,1.231
Apricot Bao Mushroom (1),0.25
Net Lotus Root (1),0.952
Yunnan Lettuces,0.501
Paopaojiao (Jingpin),0.358
Broccoli,0.579
Red Pepper (1),0.482
Xixia Mushroom (1),0.408
Green Eggplant (1),0.702
Paopaojiao (Jingpin),0.444
Apricot Bao Mushroom (1),0.25
Yunnan Shengcai,0.157
Shanghaiqing,1.548
Huangbaicai (2),0.251
Needle Mushroom (Bag) (1),1.0
Millet Pepper,0.042
Millet Pepper,0.159
Paopaojiao (Jingpin),0.487
Muercai,0.603
Spinach,0.25
Luosi Pepper,0.292
Huangbaicai (2),0.514
Qinggengsanhua,0.902
Xixia Mushroom (1),0.262
Millet Pepper,0.017
Shanghaiqing,0.579
Fresh Black Fungus (1),0.193
Xixia Mushroom (1),0.234
Broccoli,0.358
Chinese Caterpillar Fungus Flowers,0.269
Muercai,0.327
Red Hang Pepper,0.179
Xixia Mushroom (1),0.326
Millet Pepper,0.058
Yellow Xincai (1),1.175
Garden Chrysanthemum,0.267
Haixian Mushroom (Bag) (1),1.0
Yunnan Shengcai,0.459
Xixia Mushroom (1),0.161
Shanghaiqing,0.457
Caixin,0.702
Haixian Mushroom (Bag) (1),1.0
Haixian Mushroom (Bag) (1),1.0
Caixin,0.736
Chinese Cabbage,1.709
Yunnan Shengcai,0.209
Broccoli,0.923
Xixia Mushroom (1),0.115
High Melon (1),0.193
Garden Chrysanthemum,0.501
Apricot Bao Mushroom (1),0.229
Red Pepper (1),0.081
Yunnan Lettuces,0.331
Wawacai,1.0
Xixia Mushroom (1),0.257
Sweet Chinese Cabbage,0.589
Xixia Mushroom (1),0.133
Yunnan Lettuces,0.291
Paopaojiao (Jingpin),0.215
Xixia Mushroom (1),0.271
Paopaojiao (Jingpin),0.501
Spinach,0.234
Round Eggplant (2),0.582
Yunnan Shengcai,0.324
Broccoli,0.436
Green Line Pepper,0.255
Apricot Bao Mushroom (1),0.215
Huangbaicai (2),0.489
Millet Pepper,0.109
Yunnan Shengcai,0.136
Yunnan Shengcai,0.24
Caixin,0.585
Zhuyecai,0.602
Paopaojiao (Jingpin),0.544
Yunnan Shengcai,0.71
Xixia Mushroom (1),0.294
Yunnan Shengcai,0.438
Green Line Pepper,0.164
Caixin,0.334
Xixia Mushroom (1),0.243
Muercai,0.327
Xixia Mushroom (1),0.252
Red Hang Pepper,0.165
Muercai,0.628
Paopaojiao (Jingpin),0.53
Sweet Chinese Cabbage,0.539
Green Eggplant (1),0.435
Luosi Pepper,0.209
Needle Mushroom (Bag) (1),1.0
Eggplant (2),0.53
Millet Pepper,0.033
Yunnan Shengcai,0.397
Green Eggplant (1),1.254
Qinggengsanhua,0.601
Millet Pepper,0.125
The White Mushroom (Bag),1.0
Eggplant (2),0.373
Xixia Mushroom (1),0.096
Net Lotus Root (1),0.414
Yunnan Lettuces,0.261
Chinese Caterpillar Fungus Flowers,0.148
Red Hang Pepper,0.136
Broccoli,0.451
Xixia Mushroom (1),0.385
Net Lotus Root (1),0.576
Caixin,0.452
Jigu Mushroom (Bunch),1.0
Yunnan Shengcai,0.48
Huangbaicai (2),0.263
Xixia Mushroom (1),0.436
Yunnan Shengcai,0.198
Sweet Chinese Cabbage,0.589
Green Line Pepper,0.064
Xixia Mushroom (1),0.463
Broccoli,0.444
Paopaojiao (Jingpin),0.186
Paopaojiao (Jingpin),0.244
Huangbaicai (2),0.564
Luosi Pepper,0.71
Xixia Mushroom (1),0.188
Caixin,0.251
Caixin,0.602
Yunnan Shengcai,0.459
Xixia Mushroom (1),0.284
Yunnan Lettuces,0.18
Caixin,0.217
Paopaojiao (Jingpin),0.215
Yunnan Shengcai,0.188
Caixin,0.167
Luosi Pepper,0.2
Xixia Mushroom (1),0.239
Xixia Mushroom (1),0.298
Net Lotus Root (1),0.827
Huangbaicai (2),0.426
Spinach,0.292
Yunnan Shengcai,0.48
Broccoli,0.401
Shanghaiqing,0.267
Needle Mushroom (Bag) (1),1.0
Eggplant (2),0.501
Yunnan Shengcai,0.407
Xixia Mushroom (1),0.381
Paopaojiao (Jingpin),0.272
Xixia Mushroom (1),0.101
Caixin,0.435
Chinese Cabbage,0.553
Xixia Mushroom (1),1.22
Xixia Mushroom (1),0.289
Huangbaicai (2),0.276
Caixin,0.234
Caixin,0.619
Green Line Pepper,0.255
Yunnan Lettuces,0.491
Xixia Mushroom (1),0.197
Paopaojiao (Jingpin),0.358
Xixia Mushroom (1),0.28
Broccoli,0.436
Fresh Black Fungus (1),0.243
Xixia Mushroom (1),0.248
Red Pepper (1),0.325
Broccoli,0.479
Paopaojiao (Jingpin),0.358
Caixin,0.385
Qinggengsanhua,0.724
Red Pepper (1),0.244
Green Line Pepper,0.319
Apricot Bao Mushroom (Bag),1.0
Paopaojiao (Jingpin),0.172
Xixia Mushroom (1),0.174
Caixin,0.452
Green Hot Peppers,0.329
Chinese Caterpillar Fungus Flowers,0.198
Chinese Cabbage,0.779
Yellow Xincai (1),0.487
Xixia Mushroom (1),0.381
Green Line Pepper,0.355
Paopaojiao (Jingpin),0.501
Paopaojiao (Jingpin),0.53
Paopaojiao (Jingpin),0.33
Millet Pepper,0.125
Huangbaicai (2),0.551
Millet Pepper,0.134
Xixia Mushroom (1),0.248
Yunnan Shengcai,0.334
Muercai,0.377
Red Hang Pepper,0.057
Millet Pepper,0.033
The Red Bell Pepper (1),0.306
Paopaojiao (Jingpin),0.401
Xixia Mushroom (1),0.413
Green Line Pepper,0.073
7 Colour Pepper (1),0.258
Broccoli,0.467
The White Mushroom (Bag),1.0
Yunnan Shengcai,0.386
Xixia Mushroom (1),0.229
The White Mushroom (Bag),1.0
Broccoli,0.351
Chinese Cabbage,1.231
Haixian Mushroom (Bag) (1),1.0
Broccoli,0.442
Broccoli,0.434
Yunnan Shengcai,0.355
Broccoli,0.342
Round Eggplant (2),0.944
Millet Pepper,0.159
Haixian Mushroom (Bag) (1),1.0
Xixia Mushroom (1),0.307
Broccoli,0.434
Eggplant (2),0.272
Haixian Mushroom (Bag) (1),1.0
Paopaojiao (Jingpin),0.358
Paopaojiao (Jingpin),0.229
Fresh Black Fungus (1),0.193
Fresh Black Fungus (1),0.25
Jigu Mushroom (Bunch),1.0
Caixin,0.485
Spinach,0.537
Chinese Cabbage,0.332
Broccoli,0.386
Broccoli,0.329
Xixia Mushroom (1),0.307
Jigu Mushroom (1),0.328
Yunnan Shengcai,0.292
Spinach,0.243
Yunnan Lettuces,0.451
Yunnan Shengcai,0.532
Xixia Mushroom (1),0.743
Zhuyecai,0.619
Apricot Bao Mushroom (1),0.351
Millet Pepper,0.075
Luosi Pepper,0.601
Net Lotus Root (1),0.526
Broccoli,0.386
Broccoli,0.372
Yunnan Lettuces,0.281
Needle Mushroom (1),0.426
Broccoli,0.25
Luosi Pepper,0.15
Red Pepper (1),0.438
Haixian Mushroom (1),0.273
Xixia Mushroom (1),0.284
Spinach,0.565
Broccoli,0.851
Yunnan Shengcai,0.418
Net Lotus Root (1),0.915
Green Line Pepper,0.2
Red Hang Pepper,0.179
Green Hot Peppers,0.072
Naibaicai,0.452
Garden Chrysanthemum,0.301
Paopaojiao (Jingpin),0.213
Needle Mushroom (1),0.363
Net Lotus Root (1),0.326
Ping Mushroom,0.418
Naibaicai,0.302
Luosi Pepper,0.231
Broccoli,0.415
Net Lotus Root (1),1.278
Red Pepper (1),0.332
Qinggengsanhua,0.476
Eggplant (2),0.516
Millet Pepper,0.1
Chinese Cabbage,0.582
Yellow Xincai (1),0.602
Net Lotus Root (1),0.288
Needle Mushroom (Bag) (1),1.0
Garden Chrysanthemum,0.284
Broccoli,0.579
Broccoli,0.544
Green Eggplant (1),0.803
Ping Mushroom,0.418
